"StichtagDatJahr","DatenstandCd","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl1Sort","EigentuemerSSZPubl1Cd","EigentuemerSSZPubl1Lang","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzWhgStat"
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",6,"6","6-Zimmer und mehr",17
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",4,"4","Natürliche Personen",1,"1","1-Zimmer",39
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",4,"4","Natürliche Personen",2,"2","2-Zimmer",131
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",4,"4","Natürliche Personen",3,"3","3-Zimmer",202
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",4,"4","Natürliche Personen",4,"4","4-Zimmer",203
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",4,"4","Natürliche Personen",5,"5","5-Zimmer",71
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",4,"4","Natürliche Personen",6,"6","6-Zimmer und mehr",41
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",1,"1","1-Zimmer",4
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",2,"2","2-Zimmer",18
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",3,"3","3-Zimmer",78
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",4,"4","4-Zimmer",72
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",5,"5","5-Zimmer",20
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",6,"6","6-Zimmer und mehr",10
2010,"D",24,"024","Enge",2,"2","Kreis 2",1,"1","Öffentliche Hand",1,"1","1-Zimmer",0
2010,"D",24,"024","Enge",2,"2","Kreis 2",1,"1","Öffentliche Hand",2,"2","2-Zimmer",4
2010,"D",24,"024","Enge",2,"2","Kreis 2",1,"1","Öffentliche Hand",3,"3","3-Zimmer",45
2010,"D",24,"024","Enge",2,"2","Kreis 2",1,"1","Öffentliche Hand",4,"4","4-Zimmer",36
2010,"D",24,"024","Enge",2,"2","Kreis 2",1,"1","Öffentliche Hand",5,"5","5-Zimmer",9
2010,"D",24,"024","Enge",2,"2","Kreis 2",1,"1","Öffentliche Hand",6,"6","6-Zimmer und mehr",5
2010,"D",24,"024","Enge",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",1,"1","1-Zimmer",4
2010,"D",24,"024","Enge",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",2,"2","2-Zimmer",46
2010,"D",24,"024","Enge",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",3,"3","3-Zimmer",134
2010,"D",24,"024","Enge",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",4,"4","4-Zimmer",57
2010,"D",24,"024","Enge",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",5,"5","5-Zimmer",0
2010,"D",24,"024","Enge",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",6,"6","6-Zimmer und mehr",0
2010,"D",24,"024","Enge",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",1,"1","1-Zimmer",247
2010,"D",24,"024","Enge",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",2,"2","2-Zimmer",432
